Geography,Year,Category 1,Category 2,Category 3,Data field,Units,Value
Alameda,1996,Licensed Child Care Supply,Licensed facilities,,Total facilities,count,128
Alameda,1996,Licensed Child Care Supply,Licensed facilities,,Child care centers,count,452
Alameda,1996,Licensed Child Care Supply,Licensed facilities,,Family child care homes,count,102
Alameda,1996,Licensed Child Care Supply,Licensed spaces,,Total spaces,count,330
Alameda,1996,Licensed Child Care Supply,Licensed spaces,Center spaces,Infant (0-23 months),count,415
Alameda,1996,Licensed Child Care Supply,Licensed spaces,Center spaces,Preschool (2-5 years),count,271
Alameda,1996,Licensed Child Care Supply,Licensed spaces,Center spaces,Schoolage (6+ years),count,365
Alameda,1996,Licensed Child Care Supply,Licensed spaces,,Family child care home spaces,count,490
Alameda,1996,Licensed Child Care Supply,Child Care Food Program,Percent of child care programs participating in the Child Care Food Program,Total facilities,percent,0.791141491
Alameda,1996,Licensed Child Care Supply,Child Care Food Program,Percent of child care programs participating in the Child Care Food Program,Centers,percent,0.424281684
Alameda,1996,Licensed Child Care Supply,Child Care Food Program,Percent of child care programs participating in the Child Care Food Program,Family child care homes,percent,0.489652513
Alameda,1996,Licensed Child Care Supply,Public contracts,,Child care centers with one or more federal/state/local contracts,percent,0.558990619
Alameda,1996,Licensed Child Care Supply,Schedule,Percent offering full-time and part-time spaces,Centers,percent,0.473257337
Alameda,1996,Licensed Child Care Supply,Schedule,Percent offering full-time and part-time spaces,Family child care homes,percent,0.683080041
Alameda,1996,Licensed Child Care Supply,Schedule,Percent offering only full-time spaces,Centers,percent,0.765451728
Alameda,1996,Licensed Child Care Supply,Schedule,Percent offering only full-time spaces,Family child care homes,percent,0.473736289
Alameda,1996,Licensed Child Care Supply,Schedule,Percent offering only part-time spaces,Centers,percent,0.810882302
Alameda,1996,Licensed Child Care Supply,Schedule,Percent offering only part-time spaces,Family child care homes,percent,0.116048541
Alameda,1996,Licensed Child Care Supply,Schedule,"Percent offering evening, weekend, or overnight care",Centers,percent,0.954190001
Alameda,1996,Licensed Child Care Supply,Schedule,"Percent offering evening, weekend, or overnight care",Family child care homes,percent,0.323305398
Alameda,1996,Cost of Care,Annual full-time cost of care,Infant care (0-23 months),Center,usd,104.7603427
Alameda,1996,Cost of Care,Annual full-time cost of care,Infant care (0-23 months),Family child care home,usd,534.684517
Alameda,1996,Cost of Care,Annual full-time cost of care,Preschool care (2-5 years),Center,usd,214.5122536
Alameda,1996,Cost of Care,Annual full-time cost of care,Preschool care (2-5 years),Family child care home,usd,433.3821729
Alameda,1996,Child Care Request Data,Requests by age,,Under 2 years,percent,0.710411293
Alameda,1996,Child Care Request Data,Requests by age,,2-5 years,percent,0.166280922
Alameda,1996,Child Care Request Data,Requests by age,,6 years and older,percent,0.193168788
Alameda,1996,Child Care Request Data,Requests for full-time care,,Under 2 years,percent,0.854645765
Alameda,1996,Child Care Request Data,Requests for full-time care,,2 years,percent,0.019066463
Alameda,1996,Child Care Request Data,Requests for full-time care,,3 years,percent,0.869715445
Alameda,1996,Child Care Request Data,Requests for full-time care,,4 years,percent,0.092229394
